Body_value,CA-value,Cheeks-value,Eye_Ap-value,Eyebrows-value,Eyegaze-value,Head-value
LEAN,null,null,//,null,side,TURN
LEAN,null,null,null,null,side,TURN
LEAN,null,null,//,eyebrow movement,side,TURN
LEAN,null,null,SQ,eyebrow movement,+interlocutor1,null
LEAN,null,null,SQ,eyebrow movement,+interlocutor1,null
null,null,null,CLOSED,null,+hands,TILT
null,null,null,CLOSED,null,+hands,TILT
null,null,null,CLOSED,null,+hands,TILT
null,null,null,SQ > //,null,+camera,TILT
null,null,null,CLOSED,null,UpDn,TILT
null,null,null,CLOSED,null,UpDn,TILT
null,null,null,CLOSED,null,UpDn,TILT
null,null,null,CLOSED,null,UpDn,TILT
null,null,null,CLOSED,null,UpDn,TILT
SHOULDERS,null,null,SQ,null,UpDn > +camera,PUSH
null,null,null,//,null,+dh,TILT
null,null,null,SQ > //,null,+dh,TILT
null,null,null,SQ,null,+camera > +interlocutor1,TURN
null,null,null,CLOSED,null,UpDn,Headnod
SHOULDERS,null,null,CLOSED,null,UpDn,Headnod
LEAN,null,null,WD,null,UpDn,PUSH
SHOULDERLEAN,null,null,WD > SQ,null,UpDn,PUSH
SHOULDERS,null,null,SQ,null,UpDn,Headnod
null,null,null,SQ,null,+dh,null
LEAN,null,null,SQ,null,+dh,null
null,null,null,SQ,null,+dh > +interlocutor1,Headnod
null,null,null,SQ > CLOSED,null,UpDn,null
LEAN,null,null,CLOSED,null,+dh,TURN
null,null,null,SQ,null,+dh,TURN > TILT
null,null,null,CLOSED,null,+dh,TILT
null,null,null,CLOSED,null,null,TILT
LEAN,null,null,SQ,null,+camera,Headnod
null,null,null,//,null,UpDn,Headnod
null,null,null,//,null,+dh,Headnod
LEAN,null,null,CLOSED,null,+dh > +camera,TILT > Headnod
LEAN,null,null,CLOSED,null,UpDn,Headnod
LEAN,null,null,CLOSED,null,UpDn > +dh,TILT
null,null,null,null,null,+dh > UpDn,TURN
null,null,null,CLOSED,null,UpDn,TILT
null,null,null,CLOSED,null,UpDn,TILT
null,null,null,CLOSED,null,UpDn,TILT
null,null,null,CLOSED,null,UpDn,TILT
null,null,null,CLOSED,null,UpDn,TILT
null,null,null,SQ,null,+dh,Headnod
null,null,null,SQ,null,+dh,null
null,null,null,SQ,null,+dh,TURN
LEAN,null,null,SQ,null,+dh,TURN
LEAN,null,null,//,null,null,Headnod
LEAN,null,null,null,null,null,Headnod
LEAN,null,null,CLOSED,null,null,PUSH
null,null,null,CLOSED > SQ,null,+camera,Headnod
null,null,null,CLOSED,eyebrow movement,+camera > UpDn,Headnod
LEAN,null,null,SQ,eyebrow movement,UpDn,null
LEAN,null,null,SQ,null,+camera,null
LEAN,null,null,SQ,null,+camera,null
LEAN,null,null,//,null,UpDn,TILT
null,null,null,CLOSED,eyebrow movement,+camera,null
null,null,null,CLOSED,null,null,TURN
null,null,null,CLOSED,null,UpDn,TURN
null,null,null,CLOSED,null,null,TURN
null,null,null,CLOSED,null,UpDn,TURN
LEAN,null,null,// > SQ,eyebrow movement,UpDn,TURN
LEAN,null,null,SQ,eyebrow movement,UpDn,TURN
LEAN,null,null,SQ,eyebrow movement,side & UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,UpDn,TILT
LEAN,null,null,CLOSED,null,UpDn,PUSH
LEAN,null,null,CLOSED,null,UpDn,PUSH
LEAN,null,null,null,null,side & UpDn,PUSH > TILT
LEAN,CA,null,//,null,+nd,null
LEAN,null,null,//,null,null,null
null,null,null,null,null,null,TILT
null,null,null,//,null,side & UpDn,TILT
null,null,null,SQ,eyebrow movement,+camera,TILT
null,null,null,//,eyebrow movement,+camera,Headnod
LEAN,CA,null,CLOSED,null,+nd,TILT
LEAN,CA,null,null,null,UpDn,TILT
null,null,null,//,eyebrow movement,+camera,null
null,null,null,//,null,+camera,null
LEAN,null,null,null,null,+camera,TILT
LEAN,CA,null,null,null,+nd > UpDn,TILT > Headnod
LEAN,null,null,SQ,eyebrow movement,side & UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,+camera,TILT > Headnod
LEAN,null,null,SQ,eyebrow movement,side > UpDn,TURN
LEAN,null,null,//,null,+camera,TILT
LEAN,null,null,//,null,null,TILT
LEAN,CA,null,CLOSED,null,UpDn,TILT
null,null,null,SQ,eyebrow movement,UpDn,null
null,null,null,SQ,eyebrow movement,UpDn,Headnod
null,null,null,SQ > CLOSED,eyebrow movement,UpDn,Headnod
null,null,null,CLOSED,null,null,null
null,null,null,CLOSED,null,null,Headnod
null,null,null,CLOSED,null,UpDn,Headnod
null,null,null,null,null,UpDn,TILT
null,null,null,CLOSED,null,+camera,null
null,null,null,CLOSED > SQ,eyebrow movement,+camera > UpDn,null
null,null,null,SQ,eyebrow movement,UpDn > +camera,TILT
null,null,null,null,eyebrow movement,+camera,TILT
LEAN,CA,null,CLOSED,null,null,TILT > Headnod
LEAN,null,null,WD,eyebrow movement,+camera,TILT
LEAN,null,null,WD > //,eyebrow movement,side & UpDn,TILT
LEAN,null,null,null,null,UpDn,null
LEAN,CA,null,WD,null,side & UpDn,TURN
LEAN,CA,null,WD,null,side & UpDn,TURN
LEAN,CA,null,WD,null,side & UpDn,TURN
LEAN,CA,null,WD,null,side & UpDn,TURN
LEAN,CA,null,WD,null,side,TURN
LEAN,CA,null,WD,null,side > UpDn,TURN
LEAN,CA,null,WD,eyebrow movement,UpDn > side,null
LEAN,CA,null,WD,eyebrow movement,side,TURN
SHOULDERLEAN,CA,null,WD > //,eyebrow movement,side > +camera,TURN
SHOULDERS,null,null,// > WD,null,UpDn,null
SHOULDERLEAN,CA,null,WD,eyebrow movement,side & UpDn,TURN
LEAN,null,null,WD > SQ,eyebrow movement,+camera > side & UpDn,TURN
LEAN,null,null,SQ > //,eyebrow movement,+interlocutor1,TURN > Headnod
LEAN,null,null,null,eyebrow movement,UpDn > side,TILT
LEAN,null,null,//,eyebrow movement,side > +camera,TILT
null,null,null,//,null,UpDn,null
null,CA,null,null,null,null,null
LEAN,CA,null,CLOSED,null,UpDn,TILT
LEAN,CA,null,CLOSED,null,null,TILT
LEAN,CA,null,WD,null,null,TILT
LEAN,CA,null,WD,null,UpDn,PUSH
LEAN,CA,null,WD,null,UpDn,PUSH
LEAN,CA,null,WD,null,UpDn,PUSH
LEANTWIST,CA,null,WD,null,side & UpDn,TURN
TWIST,null,null,WD,null,side & UpDn,TURN
TWIST,null,null,WD,null,UpDn,TURN
LEAN,null,null,null,null,side & UpDn,TURN
LEAN,null,null,null,null,side & UpDn,TURN
LEAN,null,null,//,eyebrow movement,side & UpDn,Headshake
null,null,null,//,null,UpDn,null
null,null,null,//,eyebrow movement,UpDn,null
null,null,null,//,eyebrow movement,+camera,Headnod
LEAN,null,null,//,eyebrow movement,+dh > UpDn,TILT
LEAN,null,null,null,null,UpDn > +camera,TILT
null,null,null,CLOSED,null,+camera,null
LEAN,null,null,CLOSED,null,+camera,TURN
LEAN,null,null,null,eyebrow movement,+camera > +dh,TURN
LEAN,null,null,SQ,eyebrow movement,+camera,TURN
LEAN,CA,null,SQ,eyebrow movement,side > +camera,TURN
LEAN,null,null,CLOSED,null,null,null
LEAN,null,null,null,eyebrow movement,UpDn,null
LEAN,CA,null,SQ,eyebrow movement,+nd > UpDn,TURN
null,null,null,null,null,+camera,null
null,null,null,CLOSED,null,null,Headshake
LEAN,CA,null,WD,null,UpDn,TILT
LEAN,CA,null,WD,null,+camera,TILT
LEAN,CA,null,WD,null,+camera,TILT
LEAN,CA,null,null,eyebrow movement,UpDn,TILT
LEAN,CA,null,SQ,eyebrow movement,UpDn > side,TILT
LEAN,null,null,SQ,eyebrow movement,side > +interlocutor1 > +camera,null
LEAN,null,null,SQ > //,null,UpDn > +camera > UpDn,Headnod
LEAN,null,null,//,null,+camera,null
null,null,null,// > CLOSED,null,UpDn,null
TWIST,null,null,CLOSED > SQ > CLOSED,eyebrow movement,UpDn > +camera > UpDn,Headshake
LEAN,null,null,CLOSED,null,UpDn,null
LEAN,null,null,null,null,UpDn,PUSH
LEAN,CA,null,null,eyebrow movement,UpDn,PUSH
LEAN,null,null,//,eyebrow movement,+camera,TILT
LEAN,null,null,//,null,UpDn,TILT
null,null,null,//,null,+camera,null
null,null,null,null,null,+camera > UpDn > side & UpDn,TURN
LEAN,CA,null,null,null,side & UpDn,TURN
LEAN,CA,null,null,null,side & UpDn,TURN
LEAN,CA,null,CLOSED,null,+camera,null
LEAN,null,null,SQ,eyebrow movement,side & UpDn,TURN
null,null,null,SQ,eyebrow movement,side & UpDn,TURN
null,null,null,SQ,eyebrow movement,side & UpDn,TURN
LEANTWIST,CA,null,SQ,eyebrow movement,side,TURN
LEAN,null,null,null,null,+camera,null
LEAN,null,null,null,null,+camera,null
TWIST,null,null,//,eyebrow movement,side & UpDn,TURN
TWIST,null,null,// > SQ,eyebrow movement,side & UpDn > side,TURN
TWIST,null,null,SQ > //,eyebrow movement,side,TURN
TWIST,null,null,CLOSED,null,+camera,TURN
TWIST,null,null,//,null,+interlocutor1,TURN
TWIST,null,null,SQ,eyebrow movement,+hands > +interlocutor1,TURN
TWIST,null,null,SQ,eyebrow movement,+interlocutor1,TURN
TWIST,null,null,SQ,eyebrow movement,+interlocutor1,TURN
LEAN,CA,null,SQ > // > SQ,eyebrow movement,side & UpDn,PUSH
LEAN,null,null,SQ,eyebrow movement,null,PUSH
LEAN,null,null,CLOSED,null,null,TURN
LEAN,null,null,CLOSED > SQ,eyebrow movement,side & UpDn,TURN > Headshake
LEAN,null,null,SQ,eyebrow movement,side & UpDn,Headshake
TWIST,null,null,SQ,eyebrow movement,side & UpDn > +interlocutor1,TURN
TWIST,CA,null,SQ,eyebrow movement,+interlocutor1 > side & UpDn,TURN
TWIST,null,null,SQ > WD,eyebrow movement,side & UpDn,TURN
TWIST,null,null,WD,eyebrow movement,+interlocutor1,TURN
TWIST,null,null,WD,eyebrow movement,+interlocutor1,TURN
TWIST,null,null,null,eyebrow movement,UpDn,TILT
null,null,null,//,eyebrow movement,+interlocutor1,TURN
null,null,null,null,eyebrow movement,+interlocutor1,TURN > TILT
null,null,null,CLOSED,eyebrow movement,+interlocutor1,TILT
null,null,null,//,null,+interlocutor1,TURN
null,CA,null,//,null,+interlocutor1,TURN
null,null,null,//,eyebrow movement,+interlocutor1,TURN
null,null,null,null,eyebrow movement,UpDn,TILT
TWIST,null,null,null,null,+interlocutor1,TURN
LEAN,null,null,null,null,side & UpDn,PUSH
LEAN,CA,null,null,null,side & UpDn,PUSH
LEAN,CA,null,null,null,+interlocutor1,PUSH
LEAN,null,null,//,null,+interlocutor1 > UpDn,PUSH
null,null,null,WD,null,UpDn,null
LEAN,CA,null,WD,eyebrow movement,side & UpDn,PUSH
LEAN,null,null,null,null,side & UpDn,PUSH
LEAN,CA,null,//,null,side & UpDn,PUSH
null,null,null,CLOSED,null,null,TURN
null,CA,null,WD,eyebrow movement,side & UpDn,TURN
null,null,null,//,eyebrow movement,side > UpDn,TURN
null,null,null,CLOSED,null,side > UpDn > side > UpDn,null
null,null,null,CLOSED,eyebrow movement,+interlocutor1,Headnod
TWIST,null,null,CLOSED,eyebrow movement,+interlocutor1,Headnod
TWIST,null,null,SQ,null,side > UpDn,TURN
LEANTWIST,null,null,SQ,eyebrow movement,+interlocutor1,TURN > TILT
LEAN,null,null,SQ,eyebrow movement,side & UpDn,null
LEAN,null,null,SQ > //,eyebrow movement,+interlocutor1,Headshake & TILT
LEAN,null,null,CLOSED,null,+interlocutor1,TURN
LEAN,null,null,CLOSED > //,null,side & UpDn,TILT
null,null,null,//,null,side & UpDn,TURN
LEAN,null,null,SQ,eyebrow movement,+interlocutor1 > side & UpDn,TURN
LEAN,CA,null,SQ,eyebrow movement,side & UpDn,TURN > TURN
TWIST,null,null,SQ > CLOSED,null,side & UpDn,TURN
LEAN,null,null,null,null,null,TURN > TILT
LEAN,null,null,null,null,null,TILT
LEAN,null,null,null,null,null,TILT & TURN > Headnod
LEAN,null,null,//,null,+interlocutor1,TILT
null,null,null,null,eyebrow movement,+interlocutor1,TURN
null,null,null,//,eyebrow movement,+interlocutor1,TURN
null,null,null,SQ,eyebrow movement,+camera,TURN > TILT
null,null,null,SQ,eyebrow movement,+hands,TILT
LEAN,CA,null,SQ,eyebrow movement,side & UpDn > +interlocutor1 > side & UpDn,TURN > TILT
LEAN,null,null,SQ,null,side & UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,side & UpDn,TURN
LEAN,null,null,WD,eyebrow movement,+interlocutor1 > side & UpDn,TURN > PUSH
LEAN,null,null,null,eyebrow movement,+interlocutor1 > side & UpDn,PUSH > TILT
LEAN,CA,null,null,eyebrow movement,side & UpDn > +interlocutor1 > side & UpDn,TILT > PUSH
LEAN,null,null,null,eyebrow movement,side & UpDn > +interlocutor1,PUSH
LEAN,null,null,null,eyebrow movement,+interlocutor1,PUSH
LEAN,CA,null,SQ,eyebrow movement,+interlocutor1 > +camera > UpDn,Headshake
LEAN,null,null,SQ,eyebrow movement,UpDn > +camera,Headshake > TURN
LEAN,CA,null,SQ,eyebrow movement,+camera > side & UpDn > +camera,TURN
LEAN,CA,null,SQ,eyebrow movement,+camera > UpDn,TURN > TILT
LEAN,CA,null,SQ,eyebrow movement,UpDn > +interlocutor1,TILT & Headshake
LEAN,null,null,SQ > CLOSED,eyebrow movement,+interlocutor1 > side & UpDn,TURN
LEAN,null,null,CLOSED,null,+interlocutor1,TURN
LEAN,null,null,//,null,+interlocutor1 > side & UpDn,TURN
LEAN,null,null,SQ,eyebrow movement,+interlocutor1,TURN
LEAN,null,null,SQ,eyebrow movement,+interlocutor1 > UpDn > side & UpDn,TURN > TILT
LEAN,null,null,SQ,null,+interlocutor1,TILT
LEAN,null,null,SQ,null,+interlocutor1 > side & UpDn,null
LEAN,null,null,SQ > CLOSED,null,side & UpDn > +interlocutor1,null
LEAN,null,null,CLOSED > SQ,null,+interlocutor1,Headnod
LEAN,null,null,SQ,null,+interlocutor1,Headnod > TILT
LEAN,null,null,SQ,null,+interlocutor1 > side & UpDn > +interlocutor1,TILT & PUSH
null,null,null,SQ,null,+interlocutor1,PUSH
LEAN,CA,null,null,eyebrow movement,side & UpDn,PUSH
LEAN,CA,null,//,eyebrow movement,side,PUSH > TURN
null,null,null,//,eyebrow movement,+interlocutor1,TURN
null,null,null,//,eyebrow movement,side > UpDn,TURN
null,null,null,// > SQ,null,UpDn > side & UpDn,TURN
null,CA,null,WD > //,null,side & UpDn,TILT > TURN
LEAN,null,null,CLOSED,null,side,TURN
LEAN,null,null,WD,null,side > +interlocutor1,TURN
LEAN,null,null,WD > CLOSED,null,+interlocutor1 > side,TILT
TWIST,null,null,CLOSED,null,null,TILT > TURN
LEANTWIST,null,null,CLOSED,null,null,TURN > TILT
LEAN,CA,null,null,null,UpDn,TILT
LEAN,CA,null,null,null,UpDn,TILT
LEAN,CA,null,CLOSED,eyebrow movement,side & UpDn,TURN
LEAN,CA,null,CLOSED,eyebrow movement,UpDn,TURN > TILT
TWIST,CA,null,CLOSED,null,null,TILT
TWIST,CA,null,CLOSED,null,side & UpDn,TILT
LEAN,CA,null,null,null,side & UpDn,TILT > PUSH
LEAN,CA,null,null,null,side & UpDn,PUSH
LEAN,CA,null,null,null,side & UpDn,TILT
LEAN,CA,null,null,null,side & UpDn,TILT
LEAN,CA,null,null,null,side & UpDn,TILT
LEAN,CA,null,CLOSED,null,side & UpDn,TILT
LEAN,CA,null,CLOSED,null,null,TILT
LEAN,CA,null,null,null,side & UpDn,TILT
LEAN,CA,null,null,null,side & UpDn > +dh,TILT
LEAN,CA,null,null,null,+dh > side & UpDn,TILT > Headnod
LEAN,CA,null,// > CLOSED,null,side & UpDn,Headnod
LEAN,CA,null,CLOSED,null,null,TURN
LEAN,CA,null,CLOSED,null,side,TILT
LEAN,CA,null,//,null,side & UpDn,TILT
LEAN,CA,null,//,null,side & UpDn,TILT
LEAN,CA,null,//,null,side & UpDn,TILT
LEAN,CA,null,null,null,side & UpDn,TILT
LEAN,CA,null,null,null,side & UpDn,TILT
LEAN,CA,null,null,null,side & UpDn,TILT
LEAN,CA,null,null,null,side & UpDn > +camera,TILT
LEAN,null,null,//,null,+camera > side,TURN
LEAN,null,null,null,null,side,TURN
LEAN,null,null,null,null,+camera,TURN
null,null,null,//,null,null,TILT
null,null,null,//,eyebrow movement,side & UpDn,TILT
null,null,null,SQ,eyebrow movement,+camera,TILT
null,null,null,SQ > //,null,+camera,TILT
null,null,null,SQ,null,+camera,TILT
null,null,null,SQ,null,+camera,TILT
SHOULDERS,null,null,SQ > CLOSED,eyebrow movement,+camera,TILT
null,null,null,null,null,UpDn,null
null,null,null,//,null,UpDn,null
null,null,null,null,eyebrow movement,+camera,null
null,null,null,SQ,eyebrow movement,+camera,null
null,null,null,SQ,eyebrow movement,+camera,TILT
null,null,null,//,eyebrow movement,null,TILT
null,null,null,SQ,eyebrow movement,side & UpDn,TILT
null,null,null,SQ,eyebrow movement,side & UpDn,TILT
null,null,null,WD,eyebrow movement,+camera,null
null,null,null,WD,eyebrow movement,+camera,null
null,null,null,//,eyebrow movement,side & UpDn,null
null,null,null,// > SQ,eyebrow movement,side & UpDn,Headnod
null,null,null,SQ,null,+camera,Headnod
null,null,null,SQ,null,+camera,Headnod
null,null,null,CLOSED,null,side & UpDn,TILT
null,null,null,null,null,side & UpDn,null
null,null,null,//,null,null,null
null,null,null,CLOSED,null,+camera,TILT
null,null,null,null,null,+camera,null
null,null,null,null,null,+camera,null
null,null,null,null,null,+camera,null
null,null,null,SQ,null,+camera,TILT
null,null,null,SQ,null,UpDn,TILT
null,null,null,SQ,null,+camera,TILT
null,null,null,//,null,+camera,null
LEAN,null,null,SQ,null,+camera,null
LEAN,null,null,SQ,null,+camera,TILT
null,null,null,null,null,+camera,TILT
null,null,null,SQ,null,+camera,TILT
null,null,null,//,null,null,Headnod
null,null,null,SQ,null,side & UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,+camera,TILT
LEAN,null,null,null,eyebrow movement,UpDn,TILT
null,null,null,null,null,+hands > +camera,TILT
null,null,null,null,null,+camera,TILT
null,null,null,SQ,null,+camera,null
null,null,null,SQ,null,+camera,TURN
SHOULDERS,null,null,SQ,null,+camera,TURN
SHOULDERS,null,null,CLOSED,null,+camera,TURN > Headnod
null,null,null,CLOSED,null,+camera,TURN
null,null,null,SQ,null,+camera > UpDn,Headnod
null,null,null,SQ > CLOSED,null,UpDn,Headnod > TURN
null,null,null,CLOSED,null,+camera,TURN
null,null,null,CLOSED,null,+camera,TURN
null,null,null,CLOSED,null,null,TURN
null,null,null,CLOSED,null,null,null
null,null,null,CLOSED > SQ,null,+camera,TILT
null,null,null,SQ,null,+camera,TILT
null,null,null,SQ > //,null,+camera,Headnod
LEAN,null,null,// > SQ,eyebrow movement,side & UpDn > +camera,Headnod
null,null,null,SQ,eyebrow movement,+camera,null
null,null,null,SQ,eyebrow movement,UpDn,null
null,null,null,SQ,eyebrow movement,side,Headnod & TURN
null,null,null,SQ > // > SQ,eyebrow movement,side,Headnod & TURN
LEAN,null,null,SQ,null,side,TURN & TILT
LEAN,null,null,SQ > //,null,side & UpDn,TILT
SHOULDERLEAN,null,null,SQ,null,UpDn > +camera,PUSH
SHOULDERS,null,null,SQ,null,+camera,PUSH
SHOULDERS,null,null,SQ,null,+camera,null
SHOULDERS,CA,null,SQ > //,null,UpDn,Headnod
SHOULDERS,CA,null,//,null,UpDn,Headnod
SHOULDERLEAN,CA,null,//,null,+camera > UpDn,TURN > TILT
null,null,null,null,null,UpDn,TILT
SHOULDERS,null,null,null,null,UpDn > side & UpDn,TURN
SHOULDERS,CA,null,//,null,side & UpDn,TURN
null,null,null,//,null,side & UpDn,TILT
null,CA,null,null,null,side & UpDn,TILT
null,null,null,CLOSED,null,null,null
null,null,null,CLOSED,null,+camera,null
null,null,null,//,null,+camera,TILT
null,null,null,SQ,null,side & UpDn,TILT > TURN
null,CA,null,SQ,null,side & UpDn,TURN
null,CA,null,null,null,+camera,null
null,CA,null,//,null,UpDn > +camera,TILT
null,null,null,//,null,+camera,TILT
null,null,null,WD,eyebrow movement,+camera,null
null,null,null,WD,eyebrow movement,+camera,null
null,null,null,WD,eyebrow movement,+camera,null
null,null,null,WD,eyebrow movement,+camera,Headnod
null,CA,null,// > SQ,null,side & UpDn,Headnod
null,null,null,SQ,eyebrow movement,+camera,null
null,null,null,SQ,eyebrow movement,+camera,null
SHOULDERS,CA,null,SQ,eyebrow movement,+camera,null
SHOULDERS,null,null,SQ,eyebrow movement,UpDn,TILT
null,null,null,SQ,eyebrow movement,UpDn > side,TILT > TURN
null,null,null,SQ > //,eyebrow movement,side,TURN
null,null,null,// > SQ,eyebrow movement,side,TURN
null,CA,null,SQ,eyebrow movement,side & UpDn,null
TWIST,CA,null,SQ > //,eyebrow movement,side & UpDn,null
TWIST,CA,null,// > SQ,eyebrow movement,side,TURN
TWIST,null,null,SQ,eyebrow movement,side,TURN
null,null,null,SQ,eyebrow movement,side,TURN
null,null,null,SQ,eyebrow movement,+camera,TILT
SHOULDERS,null,null,SQ > //,eyebrow movement,+camera,TILT
null,null,null,//,null,side & UpDn,null
null,null,null,// > SQ,null,+camera,null
null,null,null,SQ > //,null,+camera,null
null,null,null,// > SQ > //,eyebrow movement,+camera,null
null,null,null,// > SQ,eyebrow movement,side & UpDn,TURN
LEAN,null,null,SQ > //,eyebrow movement,side & UpDn,TURN
null,null,null,SQ,eyebrow movement,+camera > side & UpDn,TILT > TURN
null,null,null,SQ,eyebrow movement,side & UpDn,TURN
null,null,null,SQ,eyebrow movement,UpDn,TURN
SHOULDERLEAN,CA,null,SQ > //,eyebrow movement,+camera > UpDn,TILT
LEAN,null,null,null,null,+camera,TILT
LEAN,null,null,CLOSED,null,+camera,TILT
LEAN,null,null,CLOSED > WD,eyebrow movement,+camera > +hands,TILT
LEAN,null,null,WD > //,eyebrow movement,+hands > +camera,TILT
LEAN,null,null,WD,eyebrow movement,+camera,Headshake
LEANTWIST,null,null,null,eyebrow movement,side & UpDn,PUSH
SHOULDERS,null,null,SQ,eyebrow movement,side & UpDn,null
SHOULDERS,null,null,SQ > // > SQ,eyebrow movement,UpDn,TILT
SHOULDERLEAN,CA,null,SQ,eyebrow movement,UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,UpDn,TILT
LEAN,CA,null,SQ,eyebrow movement,UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,UpDn,TILT
LEAN,CA,null,SQ > // > SQ > // > SQ > //,eyebrow movement,UpDn > side,Headnod > TILT > TURN
LEAN,null,null,SQ,null,UpDn,Headnod
null,CA,null,// > SQ,null,+camera,Headnod & TURN
LEAN,CA,null,SQ > //,eyebrow movement,+camera > side,TURN > TURN > TILT
LEAN,null,null,//,null,null,null
LEAN,null,null,//,eyebrow movement,+camera,null
null,null,null,null,eyebrow movement,+camera,null
null,null,null,SQ,eyebrow movement,+camera,null
null,null,null,SQ > // > SQ,eyebrow movement,UpDn,null
null,null,null,WD > //,eyebrow movement,+camera,null
null,null,null,// > SQ,eyebrow movement,+camera,TILT
null,null,null,SQ > // > SQ,null,+camera,null
null,null,null,//,null,+camera,Headnod
null,null,null,//,null,+camera,Headnod
null,CA,null,SQ,eyebrow movement,+camera,Headnod
null,null,null,// > SQ,eyebrow movement,+camera > side & UpDn,Headnod
null,CA,null,SQ,eyebrow movement,side & UpDn,Headnod
null,null,null,//,null,+camera,TILT
null,null,null,null,null,+camera,TILT
LEAN,null,null,//,null,+camera,TILT
LEAN,null,null,//,null,+camera,TILT
null,CA,null,// > WD,eyebrow movement,+camera,TILT
null,null,null,WD,eyebrow movement,UpDn,TILT
null,null,null,WD,eyebrow movement,UpDn,TILT
null,null,null,WD,eyebrow movement,UpDn,TILT
null,null,null,//,null,UpDn > side,TILT > Headnod
null,CA,null,null,null,side,null
LEAN,null,null,WD,eyebrow movement,side,TILT
LEAN,null,null,null,eyebrow movement,+camera,TILT
LEAN,null,null,//,eyebrow movement,+camera,TILT
null,null,null,//,eyebrow movement,+camera,null
null,null,null,// > SQ,null,+camera,Headnod
null,null,null,//,eyebrow movement,+camera,TILT
SHOULDERS,CA,null,// > SQ > // > SQ,eyebrow movement,+camera,TILT > Headnod > Headnod > Headnod
null,CA,null,// > SQ,eyebrow movement,+camera,Headnod
null,CA,null,SQ > // > SQ,eyebrow movement,+camera > side,TURN
null,CA,null,SQ > WD,eyebrow movement,side,TURN
null,null,null,//,eyebrow movement,+camera > +nd > +camera,Headnod
null,null,null,null,eyebrow movement,side,TILT
null,null,null,//,eyebrow movement,+camera,TILT
null,null,null,null,eyebrow movement,+camera > side,TILT
null,null,null,// > SQ,eyebrow movement,side > +camera,TILT
null,null,null,SQ > //,eyebrow movement,+camera,Headnod > Headnod > Headnod
LEAN,CA,null,SQ,eyebrow movement,side,TURN
LEAN,CA,null,// > SQ,null,side > +camera,TURN
null,null,null,SQ > //,null,+camera,TILT
LEAN,null,null,// > SQ,null,+camera,TILT
LEAN,null,null,SQ,null,UpDn,TILT
LEAN,null,null,//,null,+camera,TILT
LEAN,CA,null,SQ > //,eyebrow movement,side,Headnod > TURN
LEAN,null,null,WD > //,eyebrow movement,+camera,TURN > TILT
LEAN,null,null,WD,eyebrow movement,+camera,TILT
null,null,null,WD,eyebrow movement,+camera,null
LEAN,null,null,CLOSED,eyebrow movement,+camera,null
LEAN,null,null,CLOSED > WD,eyebrow movement,+camera,null
null,null,null,WD,eyebrow movement,+camera,null
null,null,null,WD,eyebrow movement,+camera,null
null,CA,null,WD > SQ > WD,eyebrow movement,+camera > side,TURN
null,CA,null,WD,eyebrow movement,side > +camera,TURN
null,null,null,WD,eyebrow movement,+camera,Headshake
null,null,null,SQ > //,eyebrow movement,+camera,Headshake
null,null,null,// > SQ,eyebrow movement,+camera,null
null,null,null,SQ > //,eyebrow movement,+camera,null
null,null,null,//,eyebrow movement,+camera,PUSH
null,null,null,SQ,eyebrow movement,+camera,PUSH
LEAN,null,null,SQ > //,eyebrow movement,+camera,null
LEAN,null,null,// > SQ,eyebrow movement,side,PUSH
LEAN,null,null,SQ,eyebrow movement,side,TURN > Headshake > TURN
null,null,null,SQ,eyebrow movement,side > +camera,Headnod
null,null,null,SQ > //,eyebrow movement,+camera,null
null,CA,null,SQ,eyebrow movement,+camera,null
null,null,null,SQ > //,eyebrow movement,+camera,Headnod > Headnod > Headnod
null,null,null,SQ,eyebrow movement,+camera,null
null,CA,null,SQ > // > SQ > // > SQ,eyebrow movement,+camera,Headnod > Headnod > TURN
null,null,null,SQ,eyebrow movement,+camera,null
null,CA,null,SQ,eyebrow movement,+camera > side,Headnod > Headnod > Headnod
null,CA,null,SQ > //,eyebrow movement,side,Headnod
null,CA,null,// > SQ > // > WD,eyebrow movement,side > +camera,Headnod > Headnod > TILT
LEAN,null,null,WD > //,eyebrow movement,+camera > UpDn,TILT
LEAN,null,null,//,eyebrow movement,UpDn,TILT
LEAN,null,null,//,null,+camera,TILT
LEAN,null,null,//,null,UpDn,TILT
LEAN,null,null,//,null,side & UpDn,TILT
null,null,null,//,null,side & UpDn,null
LEAN,null,null,SQ > //,eyebrow movement,+camera,TILT
LEAN,null,null,SQ > // > SQ,eyebrow movement,side > +camera,TURN
null,null,null,SQ,eyebrow movement,+camera,TILT
SHOULDERS,null,null,SQ,eyebrow movement,+camera,TILT
SHOULDERS,CA,null,SQ > //,eyebrow movement,+camera,TURN
null,null,null,//,eyebrow movement,side & UpDn > +camera,TURN
LEAN,null,null,WD > SQ,eyebrow movement,+camera,null
