,,,,,,,,,,,,,,,,
,"Cite: Smith, R. G., & Hofmann, M. (2020). A Lexical Frequency Analysis of Irish Sign Language. TEANGA, the Journal of the Irish Association for Applied Linguistics, 11, 18–47. https://doi.org/10.35903/teanga.v11i1.162",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Sign frequency list for the entire SOI corpus. This list has not been processed for alternates, ",,,,,,,,,,,,,,,
,"e.g., row 1: Index+me, 5: INDEX-Me, 10: INDEX+ME*, 17: INDEX-Me*",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Lexical Gloss,Freq,% of unique glosses,% of all glosses,per 1000 words,,,,,,,,,,,
300,FORGET,6,0.15%,0.05%,0.5,,,,,,,,,,,
301,FROG*,6,0.15%,0.05%,0.5,,,,,,,,,,,
302,GARDEN,6,0.15%,0.05%,0.5,,,,,,,,,,,
303,GERMAN,6,0.15%,0.05%,0.5,,,,,,,,,,,
304,GET,6,0.15%,0.05%,0.5,,,,,,,,,,,
305,GLASS,6,0.15%,0.05%,0.5,,,,,,,,,,,
306,GO-IN,6,0.15%,0.05%,0.5,,,,,,,,,,,
307,GO-MAD,6,0.15%,0.05%,0.5,,,,,,,,,,,
308,HALF,6,0.15%,0.05%,0.5,,,,,,,,,,,
309,HANDS-UP,6,0.15%,0.05%,0.5,,,,,,,,,,,
310,HELP,6,0.15%,0.05%,0.5,,,,,,,,,,,
311,HOLIDAY,6,0.15%,0.05%,0.5,,,,,,,,,,,
312,INDEX+fl+lo,6,0.15%,0.05%,0.5,,,,,,,,,,,
313,KEEN,6,0.15%,0.05%,0.5,,,,,,,,,,,
314,LADDER,6,0.15%,0.05%,0.5,,,,,,,,,,,
315,LOCK,6,0.15%,0.05%,0.5,,,,,,,,,,,
316,LONG,6,0.15%,0.05%,0.5,,,,,,,,,,,
317,MISS-McCAUL,6,0.15%,0.05%,0.5,,,,,,,,,,,
318,NEIGHBOUR,6,0.15%,0.05%,0.5,,,,,,,,,,,
319,PAST,6,0.15%,0.05%,0.5,,,,,,,,,,,
320,RATHMINES,6,0.15%,0.05%,0.5,,,,,,,,,,,
321,REALISE,6,0.15%,0.05%,0.5,,,,,,,,,,,
322,REMEMBER,6,0.15%,0.05%,0.5,,,,,,,,,,,
323,START,6,0.15%,0.05%,0.5,,,,,,,,,,,
324,STONE,6,0.15%,0.05%,0.5,,,,,,,,,,,
325,THUMBS-UP,6,0.15%,0.05%,0.5,,,,,,,,,,,
326,TO*,6,0.15%,0.05%,0.5,,,,,,,,,,,
327,TRY,6,0.15%,0.05%,0.5,,,,,,,,,,,
328,TURKEY,6,0.15%,0.05%,0.5,,,,,,,,,,,
329,UNDERSTAND,6,0.15%,0.05%,0.5,,,,,,,,,,,
330,WALK,6,0.15%,0.05%,0.5,,,,,,,,,,,
331,WALL,6,0.15%,0.05%,0.5,,,,,,,,,,,
332,WHAT-IS-IT,6,0.15%,0.05%,0.5,,,,,,,,,,,
333,WIFE,6,0.15%,0.05%,0.5,,,,,,,,,,,
334,WOMAN,6,0.15%,0.05%,0.5,,,,,,,,,,,
335,WRONG,6,0.15%,0.05%,0.5,,,,,,,,,,,
336,YOUNG,6,0.15%,0.05%,0.5,,,,,,,,,,,
337,#CHECK,5,0.12%,0.04%,0.4,,,,,,,,,,,
338,#DOG,5,0.12%,0.04%,0.4,,,,,,,,,,,
339,#FLAT,5,0.12%,0.04%,0.4,,,,,,,,,,,
340,'leave it',5,0.12%,0.04%,0.4,,,,,,,,,,,
341,*DO,5,0.12%,0.04%,0.4,,,,,,,,,,,
342,*MO,5,0.12%,0.04%,0.4,,,,,,,,,,,
343,*UK,5,0.12%,0.04%,0.4,,,,,,,,,,,
